Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1961,1961,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1962,1962,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1963,1963,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1964,1964,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1965,1965,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1966,1966,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1967,1967,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1968,1968,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1969,1969,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1970,1970,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1971,1971,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1972,1972,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1973,1973,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1974,1974,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1975,1975,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1976,1976,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1977,1977,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1978,1978,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1979,1979,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1980,1980,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1981,1981,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1982,1982,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1983,1983,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1984,1984,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1985,1985,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1986,1986,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1987,1987,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1988,1988,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1989,1989,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1990,1990,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1991,1991,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1992,1992,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1993,1993,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1994,1994,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1995,1995,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1996,1996,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1997,1997,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1998,1998,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,1999,1999,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2000,2000,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2001,2001,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2002,2002,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2003,2003,1000 ha,278040,Q,Datos oficiales reportados por los países en questionarios de FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2004,2004,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2005,2005,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2006,2006,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2007,2007,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2008,2008,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2009,2009,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2010,2010,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2011,2011,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2012,2012,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2013,2013,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6600,Superficie del país,2014,2014,1000 ha,278040,W,Datos reportados en publicaciones oficiales del país o sitios web (Oficial)
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1961,1961,1000 ha,137829,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1962,1962,1000 ha,136434,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1963,1963,1000 ha,134875,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1964,1964,1000 ha,133297,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1965,1965,1000 ha,131780,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1966,1966,1000 ha,130948,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1967,1967,1000 ha,129703,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1968,1968,1000 ha,129235,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1969,1969,1000 ha,129302,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1970,1970,1000 ha,129280,F,Estimación FAO
RL,Tierra,ARG,Argentina,5110,Superficie,6610,Superficie agrícola,1971,1971,1000 ha,129154,F,Estimación FAO
